start	end	size	type
0x00193b	0x001946	11	divergent
0x001946	0x001947	1	identical
0x001947	0x00194a	3	divergent
0x00194a	0x00194c	2	identical
0x00194c	0x00194d	1	divergent
0x00194d	0x00194e	1	identical
0x00194e	0x001954	6	divergent
0x001954	0x001955	1	identical
0x001955	0x001968	19	divergent
0x001968	0x001969	1	identical
0x001969	0x00196c	3	divergent
0x00196c	0x00196d	1	identical
0x00196d	0x001986	25	divergent
0x001986	0x001987	1	identical
0x001987	0x0019c4	61	divergent
0x0019c4	0x0019c5	1	identical
0x0019c5	0x0019ca	5	divergent
0x0019ca	0x0019cb	1	identical
0x0019cb	0x0019d8	13	divergent
0x0019d8	0x0019d9	1	identical
0x0019d9	0x001a26	77	divergent
0x001a26	0x001a27	1	identical
0x001a27	0x001a70	73	divergent
0x001a70	0x001a71	1	identical
0x001a71	0x001ab2	65	divergent
0x001ab2	0x001ab3	1	identical
0x001ab3	0x001abe	11	divergent
0x001abe	0x001ac1	3	identical
0x001ac1	0x001aea	41	divergent
0x001aea	0x001aeb	1	identical
0x001aeb	0x001aec	1	divergent
0x001aec	0x001aed	1	identical
0x001aed	0x001b41	84	divergent
0x001b41	0x001b42	1	identical
0x001b42	0x001b73	49	divergent
0x001b73	0x001b74	1	identical
0x001b74	0x001b8f	27	divergent
0x001b8f	0x001b90	1	identical
0x001b90	0x001b9b	11	divergent
0x001b9b	0x001b9c	1	identical
0x001b9c	0x001baf	19	divergent
0x001baf	0x001bb0	1	identical
0x001bb0	0x001bc3	19	divergent
0x001bc3	0x001bc4	1	identical
0x001bc4	0x001bcc	8	divergent
0x001bcc	0x001bcd	1	identical
0x001bcd	0x001bd0	3	divergent
0x001bd0	0x001bd1	1	identical
0x001bd1	0x001c37	102	divergent
0x001c37	0x001c38	1	identical
0x001c38	0x001c46	14	divergent
0x001c46	0x001c47	1	identical
0x001c47	0x001c5d	22	divergent
0x001c5d	0x001c5f	2	identical
0x001c5f	0x001cf6	151	divergent
0x001cf6	0x001cf7	1	identical
0x001cf7	0x001cfd	6	divergent
0x001cfd	0x001cfe	1	identical
0x001cfe	0x001d12	20	divergent
0x001d12	0x001d14	2	identical
