A: /home/workspace/git/openwatch/firmwares/H59MA_1.00.13_251230.bin  size=145552  sha256=7347dc5fe7c552d4f0fb93cffa2dd9cab6945b5628900705a07eb7a357781b65
  0x002119..0x00211A  identical  size=1
  0x00211A..0x002123  divergent  size=9
  0x002123..0x002124  identical  size=1
  0x002124..0x002175  divergent  size=81
  0x002175..0x002176  identical  size=1
  0x002176..0x0021A8  divergent  size=50
  0x0021A8..0x0021A9  identical  size=1
  0x0021A9..0x0021C0  divergent  size=23
  0x0021C0..0x0021C1  identical  size=1
  0x0021C1..0x0021C8  divergent  size=7
  0x0021C8..0x0021C9  identical  size=1
  0x0021C9..0x0021CE  divergent  size=5
  0x0021CE..0x0021CF  identical  size=1
  0x0021CF..0x0021E0  divergent  size=17
  0x0021E0..0x0021E1  identical  size=1
  0x0021E1..0x0021FE  divergent  size=29
  0x0021FE..0x0021FF  identical  size=1
  0x0021FF..0x0022BC  divergent  size=189
  0x0022BC..0x0022BD  identical  size=1
  0x0022BD..0x0022C2  divergent  size=5
  0x0022C2..0x0022C4  identical  size=2
  0x0022C4..0x0022C5  divergent  size=1
  0x0022C5..0x0022C6  identical  size=1
  0x0022C6..0x0022DB  divergent  size=21
  0x0022DB..0x0022DC  identical  size=1
  0x0022DC..0x002345  divergent  size=105
  0x002345..0x002346  identical  size=1
  0x002346..0x002393  divergent  size=77
  0x002393..0x002394  identical  size=1
  0x002394..0x002395  divergent  size=1
  0x002395..0x002396  identical  size=1
  0x002396..0x0023A3  divergent  size=13
  0x0023A3..0x0023A4  identical  size=1
  0x0023A4..0x0023E3  divergent  size=63
  0x0023E3..0x0023E4  identical  size=1
  0x0023E4..0x0023FF  divergent  size=27
  0x0023FF..0x002400  identical  size=1
  0x002400..0x002409  divergent  size=9
  0x002409..0x00240A  identical  size=1
  0x00240A..0x0024A1  divergent  size=151
  0x0024A1..0x0024A2  identical  size=1
  0x0024A2..0x0024CF  divergent  size=45
  0x0024CF..0x0024D0  identical  size=1
  0x0024D0..0x00252E  divergent  size=94
  0x00252E..0x00252F  identical  size=1
  0x00252F..0x002532  divergent  size=3
  0x002532..0x002536  identical  size=4
  0x002536..0x002561  divergent  size=43
  0x002561..0x002562  identical  size=1
  0x002562..0x00257B  divergent  size=25
  0x00257B..0x00257C  identical  size=1
  0x00257C..0x0025EA  divergent  size=110
  0x0025EA..0x0025EB  identical  size=1
  0x0025EB..0x002610  divergent  size=37
  0x002610..0x002611  identical  size=1
  0x002611..0x002613  divergent  size=2
  0x002613..0x002614  identical  size=1
  0x002614..0x00262C  divergent  size=24
  0x00262C..0x00262D  identical  size=1
  0x00262D..0x002679  divergent  size=76
  0x002679..0x00267A  identical  size=1
  0x00267A..0x002684  divergent  size=10
  0x002684..0x002686  identical  size=2
  0x002686..0x002687  divergent  size=1
  0x002687..0x002688  identical  size=1
  0x002688..0x00269A  divergent  size=18
  0x00269A..0x00269C  identical  size=2
  0x00269C..0x00269D  divergent  size=1
  0x00269D..0x00269E  identical  size=1
  0x00269E..0x0026AA  divergent  size=12
  0x0026AA..0x0026AE  identical  size=4
  0x0026AE..0x0026AF  divergent  size=1
  0x0026AF..0x0026B0  identical  size=1
  0x0026B0..0x0026B9  divergent  size=9
  0x0026B9..0x0026BA  identical  size=1
  0x0026BA..0x0026BC  divergent  size=2
  0x0026BC..0x0026BD  identical  size=1
  0x0026BD..0x0026BE  divergent  size=1
  0x0026BE..0x0026BF  identical  size=1
  0x0026BF..0x0026C2  divergent  size=3
  0x0026C2..0x0026C6  identical  size=4
  0x0026C6..0x0026C7  divergent  size=1
  0x0026C7..0x0026C8  identical  size=1
  0x0026C8..0x0026C9  divergent  size=1
  0x0026C9..0x0026CC  identical  size=3
  0x0026CC..0x0026CD  divergent  size=1
  0x0026CD..0x0026D2  identical  size=5
  0x0026D2..0x0026D3  divergent  size=1
  0x0026D3..0x0026D4  identical  size=1
  0x0026D4..0x00270E  divergent  size=58
